"p","n","rho","method","coverage_classic","width_classic","coverage_corrected","width_corrected","rho_default","deff","n_eff","coverage_change","width_change","width_ratio"
0.02,10000,0.2,"Wilson",0.0799,0.00465664759214428,0.952,0.150168690275924,0.0364869714730913,365.83322775944,27.3348598246403,0.8721,0.14551204268378,32.2482402424562
0.02,10000,0.25,"Agresti_Coull",0.0657,0.00447700471897125,0.9741,0.213522373413068,0.0497138016406722,498.088302605081,20.0767613848758,0.9084,0.209045368694096,47.6931311928865
0.02,10000,0.25,"Clopper_Pearson",0.067,0.00453249237529228,0.9807,0.198780647042162,0.0497138016406722,498.088302605081,20.0767613848758,0.9137,0.19424815466687,43.8568078185336
0.02,10000,0.25,"Wald",0.0657,0.00441857326656531,0.8224,0.0693842286943985,0.0497138016406722,498.088302605081,20.0767613848758,0.7567,0.0649656554278332,15.7028580287258
0.02,10000,0.25,"Wilson",0.0657,0.00445101766997669,0.9525,0.187001629100471,0.0497138016406722,498.088302605081,20.0767613848758,0.8868,0.182550611430494,42.013229999478
0.05,10000,0.01,"Agresti_Coull",0.3087,0.00849623792330047,0.9585,0.0423871649072918,0.00222943518483509,23.2921224131661,429.329703090836,0.6498,0.0338909269839913,4.98893337144518
0.05,10000,0.01,"Clopper_Pearson",0.3115,0.0085849372158305,0.9647,0.0434909555743252,0.00222943518483509,23.2921224131661,429.329703090836,0.6532,0.0349060183584947,5.06596081962353
0.05,10000,0.01,"Wald",0.3101,0.00848357540358631,0.9467,0.0410246016809179,0.00222943518483509,23.2921224131661,429.329703090836,0.6366,0.0325410262773316,4.83576790790064
0.05,10000,0.01,"Wilson",0.3087,0.0084890967384328,0.9549,0.0416257497816722,0.00222943518483509,23.2921224131661,429.329703090836,0.6462,0.0331366530432394,4.90343685132241
0.05,10000,0.05,"Agresti_Coull",0.1368,0.00828376845638043,0.962,0.106778937338101,0.0122159354563175,123.147138627718,81.2036731948003,0.8252,0.0984951688817202,12.890140266518
0.05,10000,0.05,"Clopper_Pearson",0.1383,0.00837136577961644,0.9745,0.105677706610009,0.0122159354563175,123.147138627718,81.2036731948003,0.8362,0.0973063408303929,12.6237115175788
0.05,10000,0.05,"Wald",0.1377,0.00826975590803514,0.9319,0.0886767479891022,0.0122159354563175,123.147138627718,81.2036731948003,0.7942,0.080406992081067,10.723018789822
0.05,10000,0.05,"Wilson",0.1368,0.00827597475019098,0.956,0.0989288023614764,0.0122159354563175,123.147138627718,81.2036731948003,0.8192,0.0906528276112854,11.9537341941737
0.05,10000,0.1,"Agresti_Coull",0.0968,0.00804667527299105,0.9611,0.16641712143702,0.0258308541463101,259.282710608955,38.5679399004811,0.8643,0.158370446164029,20.6814759874311
0.05,10000,0.1,"Clopper_Pearson",0.0976,0.00813261552068534,0.9746,0.161229771257372,0.0258308541463101,259.282710608955,38.5679399004811,0.877,0.153097155736686,19.8250822072288
0.05,10000,0.1,"Wald",0.0967,0.00803064012495905,0.9139,0.112539548925808,0.0258308541463101,259.282710608955,38.5679399004811,0.8172,0.104508908800849,14.0137706552231
0.05,10000,0.1,"Wilson",0.0968,0.0080378982822548,0.9496,0.150368369222294,0.0258308541463101,259.282710608955,38.5679399004811,0.8528,0.142330470940039,18.7074237495964
0.05,10000,0.2,"Agresti_Coull",0.0617,0.00749953387352998,0.9627,0.276034148066621,0.0608075967439143,609.015159842399,16.4199525059242,0.901,0.268534614193091,36.8068406279088
0.05,10000,0.2,"Clopper_Pearson",0.0623,0.00758031785519544,0.9776,0.270561813829723,0.0608075967439143,609.015159842399,16.4199525059242,0.9153,0.262981495974528,35.6926739746519
0.05,10000,0.2,"Wald",0.0627,0.00747703269358571,0.869,0.140630580875876,0.0608075967439143,609.015159842399,16.4199525059242,0.8063,0.13315354818229,18.8083410410279
0.05,10000,0.2,"Wilson",0.0617,0.00748772822647947,0.9493,0.247435002752287,0.0608075967439143,609.015159842399,16.4199525059242,0.8876,0.239947274525808,33.0454037951407
0.05,10000,0.25,"Agresti_Coull",0.0482,0.00724384683023008,0.961,0.310641792871919,0.0747323719217884,748.248986845962,13.3645353028171,0.9128,0.303397946041688,42.8835396650776
0.05,10000,0.25,"Clopper_Pearson",0.0487,0.00732109869555381,0.9786,0.307630133515895,0.0747323719217884,748.248986845962,13.3645353028171,0.9299,0.300309034820341,42.0196675811408
0.05,10000,0.25,"Wald",0.0482,0.00721655046417626,0.8297,0.146065043156907,0.0747323719217884,748.248986845962,13.3645353028171,0.7815,0.13884849269273,20.2402856991009
0.05,10000,0.25,"Wilson",0.0482,0.00723002294012422,0.9489,0.278374125423832,0.0747323719217884,748.248986845962,13.3645353028171,0.9007,0.271144102483708,38.5025231218767
