"model","method","p","n","rho","B","coverage","avg_width","median_width","lower_zero_rate","mean_p_hat","sd_p_hat","mean_defaults","sd_defaults"
"vasicek","Wald",0.001,50000,0.05,10000,0.2587,0.000512856563626251,0.000476703341248071,0.0066,0.001002514,0.000885420643974195,50.1257,44.2710321987097
"vasicek","Clopper_Pearson",0.001,50000,0.05,10000,0.2653,0.000535223010347479,0.000498769576175804,4e-04,0.001002514,0.000885420643974195,50.1257,44.2710321987097
"vasicek","Wilson",0.001,50000,0.05,10000,0.2606,0.000519652137452369,0.00048281774695373,4e-04,0.001002514,0.000885420643974195,50.1257,44.2710321987097
"vasicek","Agresti_Coull",0.001,50000,0.05,10000,0.2606,0.00052619653441712,0.000488873075267714,0.0012,0.001002514,0.000885420643974195,50.1257,44.2710321987097
"vasicek","Wald",0.001,50000,0.1,10000,0.1721,0.000473257657982529,0.000414730009341262,0.0612,0.00099326,0.00133646874534002,49.663,66.823437267001
"vasicek","Clopper_Pearson",0.001,50000,0.1,10000,0.177,0.00049728687043005,0.000437107829447515,0.0076,0.00099326,0.00133646874534002,49.663,66.823437267001
"vasicek","Wilson",0.001,50000,0.1,10000,0.1732,0.000482940400709476,0.000421753920855159,0.0076,0.00099326,0.00133646874534002,49.663,66.823437267001
"vasicek","Agresti_Coull",0.001,50000,0.1,10000,0.1732,0.000490879487578878,0.000428677641313307,0.0218,0.00099326,0.00133646874534002,49.663,66.823437267001
"vasicek","Wald",0.001,50000,0.2,10000,0.0987,0.000395307637767763,0.000282633276280652,0.2479,0.000999266,0.00241577798225954,49.9633,120.788899112977
"vasicek","Clopper_Pearson",0.001,50000,0.2,10000,0.1028,0.000425931329901089,0.000306120798806325,0.082,0.000999266,0.00241577798225954,49.9633,120.788899112977
"vasicek","Wilson",0.001,50000,0.2,10000,0.1001,0.000414606730800934,0.000292867053892397,0.082,0.000999266,0.00241577798225954,49.9633,120.788899112977
"vasicek","Agresti_Coull",0.001,50000,0.2,10000,0.1001,0.000424897009066031,0.000302764491789206,0.1458,0.000999266,0.00241577798225954,49.9633,120.788899112977
"vasicek","Wald",0.001,50000,0.25,10000,0.0784,0.000350905453168702,0.000221726871617357,0.3629,0.000972844,0.00298738177617988,48.6422,149.369088808994
"vasicek","Clopper_Pearson",0.001,50000,0.25,10000,0.082,0.000386396187344718,0.000246160216983013,0.1577,0.000972844,0.00298738177617988,48.6422,149.369088808994
"vasicek","Wilson",0.001,50000,0.25,10000,0.0806,0.00037690571948028,0.000234642425069175,0.1577,0.000972844,0.00298738177617988,48.6422,149.369088808994
"vasicek","Agresti_Coull",0.001,50000,0.25,10000,0.0806,0.000388183185785915,0.000246889962186599,0.2487,0.000972844,0.00298738177617988,48.6422,149.369088808994
"independent","Wald",0.001,1e+05,0,10000,0.9456,0.000391574960759376,0.000391796751485942,0,0.001001388,0.000100138185631767,100.1388,10.0138185631767
"independent","Clopper_Pearson",0.001,1e+05,0,10000,0.9556,0.000402204890515111,0.000402424713677472,0,0.001001388,0.000100138185631767,100.1388,10.0138185631767
"independent","Wilson",0.001,1e+05,0,10000,0.9494,0.000393444337877383,0.000393660346915382,0,0.001001388,0.000100138185631767,100.1388,10.0138185631767
"independent","Agresti_Coull",0.001,1e+05,0,10000,0.9494,0.000395312162725397,0.000395522544402491,0,0.001001388,0.000100138185631767,100.1388,10.0138185631767
"vasicek","Wald",0.001,1e+05,0.01,10000,0.4121,0.00038549433842746,0.000381885792512565,0,0.000998529,0.000356480594142795,99.8529,35.6480594142795
"vasicek","Clopper_Pearson",0.001,1e+05,0.01,10000,0.429,0.000396153589482572,0.000392530390140354,0,0.000998529,0.000356480594142795,99.8529,35.6480594142795
"vasicek","Wilson",0.001,1e+05,0.01,10000,0.4214,0.000387449813453582,0.000383798282785126,0,0.000998529,0.000356480594142795,99.8529,35.6480594142795
"vasicek","Agresti_Coull",0.001,1e+05,0.01,10000,0.4214,0.000389401349714871,0.000385708479026,0,0.000998529,0.000356480594142795,99.8529,35.6480594142795
"vasicek","Wald",0.001,1e+05,0.05,10000,0.1862,0.00036375615139083,0.000343839828466668,8e-04,0.000999867,0.000852867276057686,99.9867,85.2867276057686
