"method","p","n","rho","width_vasicek","width_ind","width_diff"
"Wilson",0.005,25000,0.05,0.00165412552228814,0.00175501410816191,-0.00010088858587377
"Agresti_Coull",0.005,25000,0.1,0.00157097031385949,0.0017616043482401,-0.00019063403438061
"Clopper_Pearson",0.005,25000,0.1,0.00159520488940271,0.00179068083623075,-0.00019547594682804
"Wald",0.005,25000,0.1,0.00155183730230798,0.00174853213056278,-0.0001966948282548
"Wilson",0.005,25000,0.1,0.00156153383008359,0.00175501410816191,-0.00019348027807832
"Agresti_Coull",0.005,25000,0.2,0.00139830803039586,0.0017616043482401,-0.00036329631784424
"Clopper_Pearson",0.005,25000,0.2,0.00141494624093386,0.00179068083623075,-0.00037573459529689
"Wald",0.005,25000,0.2,0.00136663547276227,0.00174853213056278,-0.00038189665780051
"Wilson",0.005,25000,0.2,0.00138486039999516,0.00175501410816191,-0.00037015370816675
"Agresti_Coull",0.005,25000,0.25,0.00131542097335536,0.0017616043482401,-0.00044618337488474
"Clopper_Pearson",0.005,25000,0.25,0.00132759717824431,0.00179068083623075,-0.00046308365798644
"Wald",0.005,25000,0.25,0.00127446408320355,0.00174853213056278,-0.00047406804735923
"Wilson",0.005,25000,0.25,0.00129993468592781,0.00175501410816191,-0.0004550794222341
"Agresti_Coull",0.005,50000,0.01,0.00122693944267742,0.00124025633755202,-1.33168948746002e-05
"Clopper_Pearson",0.005,50000,0.01,0.00124294068675785,0.00125638672052494,-1.34460337670901e-05
"Wald",0.005,50000,0.01,0.00122215350541349,0.00123562632262867,-1.34728172151799e-05
"Wilson",0.005,50000,0.01,0.00122452571216538,0.00123791990694603,-1.33941947806501e-05
"Agresti_Coull",0.005,50000,0.05,0.00117716149710154,0.00124025633755202,-6.30948404504801e-05
"Clopper_Pearson",0.005,50000,0.05,0.00119257027262953,0.00125638672052494,-6.381644789541e-05
"Wald",0.005,50000,0.05,0.00117165980492649,0.00123562632262867,-6.39665177021799e-05
"Wilson",0.005,50000,0.05,0.00117439374132029,0.00123791990694603,-6.35261656257401e-05
"Agresti_Coull",0.005,50000,0.1,0.00111831236272137,0.00124025633755202,-0.00012194397483065
"Clopper_Pearson",0.005,50000,0.1,0.00113271805257818,0.00125638672052494,-0.00012366866794676
"Wald",0.005,50000,0.1,0.00111157907415079,0.00123562632262867,-0.00012404724847788
"Wilson",0.005,50000,0.1,0.00111495104341218,0.00123791990694603,-0.00012296886353385
"Agresti_Coull",0.005,50000,0.2,0.000990565249918329,0.00124025633755202,-0.000249691087633691
"Clopper_Pearson",0.005,50000,0.2,0.00100183138802253,0.00125638672052494,-0.00025455533250241
"Wald",0.005,50000,0.2,0.000979182124815916,0.00123562632262867,-0.000256444197812754
"Wilson",0.005,50000,0.2,0.000985464279933052,0.00123791990694603,-0.000252455627012978
"Agresti_Coull",0.005,50000,0.25,0.000915200460450168,0.00124025633755202,-0.000325055877101852
"Clopper_Pearson",0.005,50000,0.25,0.000924437073720135,0.00125638672052494,-0.000331949646804805
"Wald",0.005,50000,0.25,0.000900137727080162,0.00123562632262867,-0.000335488595548508
"Wilson",0.005,50000,0.25,0.000909085454172477,0.00123791990694603,-0.000328834452773553
"Agresti_Coull",0.005,1e+05,0.01,0.000865679165568293,0.000875774345813514,-1.0095180245221e-05
"Clopper_Pearson",0.005,1e+05,0.01,0.000874263645327556,0.000884406162551805,-1.01425172242491e-05
"Wald",0.005,1e+05,0.01,0.000863985124398541,0.000874137416939457,-1.0152292540916e-05
"Wilson",0.005,1e+05,0.01,0.000864824327843512,0.000874947894104523,-1.0123566261011e-05
"Agresti_Coull",0.005,1e+05,0.05,0.000829550597611121,0.000875774345813514,-4.62237482023929e-05
"Clopper_Pearson",0.005,1e+05,0.05,0.000837920559904682,0.000884406162551805,-4.6485602647123e-05
"Wald",0.005,1e+05,0.05,0.000827597722199026,0.000874137416939457,-4.6539694740431e-05
"Wilson",0.005,1e+05,0.05,0.000828567219042381,0.000874947894104523,-4.6380675062142e-05
"Agresti_Coull",0.005,1e+05,0.1,0.000787225462691295,0.000875774345813514,-8.85488831222189e-05
"Clopper_Pearson",0.005,1e+05,0.1,0.00079524931610395,0.000884406162551805,-8.9156846447855e-05
"Wald",0.005,1e+05,0.1,0.000784854021681583,0.000874137416939457,-8.9283395257874e-05
"Wilson",0.005,1e+05,0.1,0.000786035382217047,0.000874947894104523,-8.8912511887476e-05
"Agresti_Coull",0.005,1e+05,0.2,0.000696624107987788,0.000875774345813514,-0.000179150237825726
