"model","method","p","n","rho","avg_width","median_width"
"vasicek","Wald",0.001,10000,0.1,0.00100954640350067,0.000876303382543258
"vasicek","Wilson",0.001,10000,0.1,0.00113563790268461,0.000956437519978267
"vasicek","Agresti_Coull",0.001,10000,0.2,0.00108885093427612,0.000868998828006601
"vasicek","Clopper_Pearson",0.001,10000,0.2,0.00104872557556397,0.000814603036765614
"vasicek","Wald",0.001,10000,0.2,0.000834350386811059,0.000639424795045143
"vasicek","Wilson",0.001,10000,0.2,0.00101862262554925,0.000779703572818569
"vasicek","Agresti_Coull",0.001,10000,0.25,0.00102430154470597,0.000775728236342961
"vasicek","Clopper_Pearson",0.001,10000,0.25,0.000977119947792266,0.000698058212083286
"vasicek","Wald",0.001,10000,0.25,0.000742580769443405,0.000477153045407406
"vasicek","Wilson",0.001,10000,0.25,0.000953015652553477,0.000674146916686609
"vasicek","Agresti_Coull",0.001,25000,0.01,0.00079960627303016,0.000797755363264894
"vasicek","Clopper_Pearson",0.001,25000,0.01,0.000813827801197262,0.000812885424546059
"vasicek","Wald",0.001,25000,0.01,0.000768495521018932,0.0007677770696672
"vasicek","Wilson",0.001,25000,0.01,0.000784212023050037,0.000782881950197891
"vasicek","Agresti_Coull",0.001,25000,0.05,0.000757498891490644,0.00071676699319788
"vasicek","Clopper_Pearson",0.001,25000,0.05,0.000766955666780795,0.000728951139285906
"vasicek","Wald",0.001,25000,0.05,0.000719259685576244,0.000683203030100154
"vasicek","Wilson",0.001,25000,0.05,0.000739478334715832,0.000700161840814199
"vasicek","Agresti_Coull",0.001,25000,0.1,0.000719399218854692,0.000625337570792402
"vasicek","Clopper_Pearson",0.001,25000,0.1,0.000723398016896186,0.000633216565208571
"vasicek","Wald",0.001,25000,0.1,0.00066969230980527,0.000586516803933533
"vasicek","Wilson",0.001,25000,0.1,0.000698842211079631,0.000606217702771523
"vasicek","Agresti_Coull",0.001,25000,0.2,0.000624573453406779,0.000468159722371821
"vasicek","Clopper_Pearson",0.001,25000,0.2,0.000618511754167894,0.000464239678300438
"vasicek","Wald",0.001,25000,0.2,0.000547609021092132,0.000414788100007281
"vasicek","Wilson",0.001,25000,0.2,0.00060043280715233,0.000442266821673793
"vasicek","Agresti_Coull",0.001,25000,0.25,0.000592184307671012,0.000381423574543473
"vasicek","Clopper_Pearson",0.001,25000,0.25,0.000582513896893588,0.000366016129931133
"vasicek","Wald",0.001,25000,0.25,0.000503789605531271,0.000313569148983825
"vasicek","Wilson",0.001,25000,0.25,0.000567024572629331,0.000349140424614281
"vasicek","Agresti_Coull",0.001,50000,0.01,0.000554426351986233,0.000548035423926893
"vasicek","Clopper_Pearson",0.001,50000,0.01,0.000565244968078181,0.000559051089856628
"vasicek","Wald",0.001,50000,0.01,0.000543371491583115,0.00053722077237862
"vasicek","Wilson",0.001,50000,0.01,0.000548920799862801,0.000542645033229555
"vasicek","Agresti_Coull",0.001,50000,0.05,0.00052619653441712,0.000488873075267714
"vasicek","Clopper_Pearson",0.001,50000,0.05,0.000535223010347479,0.000498769576175804
"vasicek","Wald",0.001,50000,0.05,0.000512856563626251,0.000476703341248071
"vasicek","Wilson",0.001,50000,0.05,0.000519652137452369,0.00048281774695373
"vasicek","Agresti_Coull",0.001,50000,0.1,0.000490879487578878,0.000428677641313307
"vasicek","Clopper_Pearson",0.001,50000,0.1,0.00049728687043005,0.000437107829447515
"vasicek","Wald",0.001,50000,0.1,0.000473257657982529,0.000414730009341262
"vasicek","Wilson",0.001,50000,0.1,0.000482940400709476,0.000421753920855159
"vasicek","Agresti_Coull",0.001,50000,0.2,0.000424897009066031,0.000302764491789206
"vasicek","Clopper_Pearson",0.001,50000,0.2,0.000425931329901089,0.000306120798806325
"vasicek","Wald",0.001,50000,0.2,0.000395307637767763,0.000282633276280652
"vasicek","Wilson",0.001,50000,0.2,0.000414606730800934,0.000292867053892397
"vasicek","Agresti_Coull",0.001,50000,0.25,0.000388183185785915,0.000246889962186599
"vasicek","Clopper_Pearson",0.001,50000,0.25,0.000386396187344718,0.000246160216983013
"vasicek","Wald",0.001,50000,0.25,0.000350905453168702,0.000221726871617357
"vasicek","Wilson",0.001,50000,0.25,0.00037690571948028,0.000234642425069175
"vasicek","Agresti_Coull",0.001,1e+05,0.01,0.000389401349714871,0.000385708479026
"vasicek","Clopper_Pearson",0.001,1e+05,0.01,0.000396153589482572,0.000392530390140354
