"model","method","p","n","rho","coverage"
"vasicek","Wilson",0.02,1e+05,0.1,0.0367
"vasicek","Agresti_Coull",0.02,1e+05,0.2,0.0234
"vasicek","Clopper_Pearson",0.02,1e+05,0.2,0.0237
"vasicek","Wald",0.02,1e+05,0.2,0.0233
"vasicek","Wilson",0.02,1e+05,0.2,0.0234
"vasicek","Agresti_Coull",0.02,1e+05,0.25,0.0216
"vasicek","Clopper_Pearson",0.02,1e+05,0.25,0.0217
"vasicek","Wald",0.02,1e+05,0.25,0.0217
"vasicek","Wilson",0.02,1e+05,0.25,0.0216
"vasicek","Agresti_Coull",0.05,5000,0.01,0.424
"vasicek","Clopper_Pearson",0.05,5000,0.01,0.4294
"vasicek","Wald",0.05,5000,0.01,0.4147
"vasicek","Wilson",0.05,5000,0.01,0.424
"vasicek","Agresti_Coull",0.05,5000,0.05,0.2045
"vasicek","Clopper_Pearson",0.05,5000,0.05,0.2075
"vasicek","Wald",0.05,5000,0.05,0.2
"vasicek","Wilson",0.05,5000,0.05,0.2045
"vasicek","Agresti_Coull",0.05,5000,0.1,0.1423
"vasicek","Clopper_Pearson",0.05,5000,0.1,0.1445
"vasicek","Wald",0.05,5000,0.1,0.1402
"vasicek","Wilson",0.05,5000,0.1,0.1423
"vasicek","Agresti_Coull",0.05,5000,0.2,0.0885
"vasicek","Clopper_Pearson",0.05,5000,0.2,0.0902
"vasicek","Wald",0.05,5000,0.2,0.0868
"vasicek","Wilson",0.05,5000,0.2,0.0885
"vasicek","Agresti_Coull",0.05,5000,0.25,0.0713
"vasicek","Clopper_Pearson",0.05,5000,0.25,0.0719
"vasicek","Wald",0.05,5000,0.25,0.0692
"vasicek","Wilson",0.05,5000,0.25,0.0713
"vasicek","Agresti_Coull",0.05,10000,0.01,0.3087
"vasicek","Clopper_Pearson",0.05,10000,0.01,0.3115
"vasicek","Wald",0.05,10000,0.01,0.3101
"vasicek","Wilson",0.05,10000,0.01,0.3087
"vasicek","Agresti_Coull",0.05,10000,0.05,0.1368
"vasicek","Clopper_Pearson",0.05,10000,0.05,0.1383
"vasicek","Wald",0.05,10000,0.05,0.1377
"vasicek","Wilson",0.05,10000,0.05,0.1368
"vasicek","Agresti_Coull",0.05,10000,0.1,0.0968
"vasicek","Clopper_Pearson",0.05,10000,0.1,0.0976
"vasicek","Wald",0.05,10000,0.1,0.0967
"vasicek","Wilson",0.05,10000,0.1,0.0968
"vasicek","Agresti_Coull",0.05,10000,0.2,0.0617
"vasicek","Clopper_Pearson",0.05,10000,0.2,0.0623
"vasicek","Wald",0.05,10000,0.2,0.0627
"vasicek","Wilson",0.05,10000,0.2,0.0617
"vasicek","Agresti_Coull",0.05,10000,0.25,0.0482
"vasicek","Clopper_Pearson",0.05,10000,0.25,0.0487
"vasicek","Wald",0.05,10000,0.25,0.0482
"vasicek","Wilson",0.05,10000,0.25,0.0482
"vasicek","Agresti_Coull",0.05,25000,0.01,0.1966
"vasicek","Clopper_Pearson",0.05,25000,0.01,0.1976
"vasicek","Wald",0.05,25000,0.01,0.1957
"vasicek","Wilson",0.05,25000,0.01,0.1966
"vasicek","Agresti_Coull",0.05,25000,0.05,0.091
"vasicek","Clopper_Pearson",0.05,25000,0.05,0.0915
"vasicek","Wald",0.05,25000,0.05,0.0901
"vasicek","Wilson",0.05,25000,0.05,0.091
"vasicek","Agresti_Coull",0.05,25000,0.1,0.0589
"vasicek","Clopper_Pearson",0.05,25000,0.1,0.0591
"vasicek","Wald",0.05,25000,0.1,0.0581
"vasicek","Wilson",0.05,25000,0.1,0.0589
"vasicek","Agresti_Coull",0.05,25000,0.2,0.0412
"vasicek","Clopper_Pearson",0.05,25000,0.2,0.0415
"vasicek","Wald",0.05,25000,0.2,0.0413
"vasicek","Wilson",0.05,25000,0.2,0.0412
"vasicek","Agresti_Coull",0.05,25000,0.25,0.0318
"vasicek","Clopper_Pearson",0.05,25000,0.25,0.032
"vasicek","Wald",0.05,25000,0.25,0.0316
"vasicek","Wilson",0.05,25000,0.25,0.0318
"vasicek","Agresti_Coull",0.05,50000,0.01,0.1525
"vasicek","Clopper_Pearson",0.05,50000,0.01,0.1529
"vasicek","Wald",0.05,50000,0.01,0.1524
"vasicek","Wilson",0.05,50000,0.01,0.1525
"vasicek","Agresti_Coull",0.05,50000,0.05,0.0649
"vasicek","Clopper_Pearson",0.05,50000,0.05,0.0651
"vasicek","Wald",0.05,50000,0.05,0.0646
"vasicek","Wilson",0.05,50000,0.05,0.0649
"vasicek","Agresti_Coull",0.05,50000,0.1,0.0454
"vasicek","Clopper_Pearson",0.05,50000,0.1,0.0456
"vasicek","Wald",0.05,50000,0.1,0.0453
"vasicek","Wilson",0.05,50000,0.1,0.0454
"vasicek","Agresti_Coull",0.05,50000,0.2,0.0294
"vasicek","Clopper_Pearson",0.05,50000,0.2,0.0298
"vasicek","Wald",0.05,50000,0.2,0.0296
"vasicek","Wilson",0.05,50000,0.2,0.0294
"vasicek","Agresti_Coull",0.05,50000,0.25,0.0246
"vasicek","Clopper_Pearson",0.05,50000,0.25,0.0249
"vasicek","Wald",0.05,50000,0.25,0.0251
"vasicek","Wilson",0.05,50000,0.25,0.0246
"vasicek","Agresti_Coull",0.05,1e+05,0.01,0.1016
"vasicek","Clopper_Pearson",0.05,1e+05,0.01,0.1019
"vasicek","Wald",0.05,1e+05,0.01,0.1006
"vasicek","Wilson",0.05,1e+05,0.01,0.1016
"vasicek","Agresti_Coull",0.05,1e+05,0.05,0.0428
"vasicek","Clopper_Pearson",0.05,1e+05,0.05,0.0429
"vasicek","Wald",0.05,1e+05,0.05,0.0428
"vasicek","Wilson",0.05,1e+05,0.05,0.0428
"vasicek","Agresti_Coull",0.05,1e+05,0.1,0.0259
"vasicek","Clopper_Pearson",0.05,1e+05,0.1,0.0259
"vasicek","Wald",0.05,1e+05,0.1,0.0254
"vasicek","Wilson",0.05,1e+05,0.1,0.0259
"vasicek","Agresti_Coull",0.05,1e+05,0.2,0.0222
"vasicek","Clopper_Pearson",0.05,1e+05,0.2,0.0222
"vasicek","Wald",0.05,1e+05,0.2,0.0219
"vasicek","Wilson",0.05,1e+05,0.2,0.0222
"vasicek","Agresti_Coull",0.05,1e+05,0.25,0.0185
"vasicek","Clopper_Pearson",0.05,1e+05,0.25,0.0185
"vasicek","Wald",0.05,1e+05,0.25,0.0184
"vasicek","Wilson",0.05,1e+05,0.25,0.0185
