"method","coverage","avg_width","median_width","lower_zero_rate","p","n","rho","rho_default","deff","n_eff","model"
"Wald",0.942,0.0415826567265582,0.0397402418813715,0.7905,0.02,10000,0.05,0.00728091768541191,73.8018959364336,135.497874046666,"vasicek_eff_n"
"Wilson",0.9558,0.0524769759723754,0.0511291846544937,0,0.02,10000,0.05,0.00728091768541191,73.8018959364336,135.497874046666,"vasicek_eff_n"
"Agresti_Coull",0.962,0.106778937338101,0.105628434955556,0.0769,0.05,10000,0.05,0.0122159354563175,123.147138627718,81.2036731948003,"vasicek_eff_n"
"Clopper_Pearson",0.9745,0.105677706610009,0.104590554347065,0,0.05,10000,0.05,0.0122159354563175,123.147138627718,81.2036731948003,"vasicek_eff_n"
"Wald",0.9319,0.0886767479891022,0.0907481720991584,0.4928,0.05,10000,0.05,0.0122159354563175,123.147138627718,81.2036731948003,"vasicek_eff_n"
"Wilson",0.956,0.0989288023614764,0.0977157374000577,0,0.05,10000,0.05,0.0122159354563175,123.147138627718,81.2036731948003,"vasicek_eff_n"
"Agresti_Coull",0.9865,0.012087196469131,0.0114908520527303,0.965,0.001,10000,0.1,0.00218560238111546,22.8538382087735,437.563262181538,"vasicek_eff_n"
"Clopper_Pearson",0.9843,0.0102331618718196,0.00960249303903757,0.0878,0.001,10000,0.1,0.00218560238111546,22.8538382087735,437.563262181538,"vasicek_eff_n"
"Wald",0.9096,0.00348950712257493,0.00289442022907904,0.9951,0.001,10000,0.1,0.00218560238111546,22.8538382087735,437.563262181538,"vasicek_eff_n"
"Wilson",0.9576,0.0103553413161557,0.00981994568083551,0.0878,0.001,10000,0.1,0.00218560238111546,22.8538382087735,437.563262181538,"vasicek_eff_n"
"Agresti_Coull",0.9719,0.0335904091079935,0.0315546292532468,0.8874,0.005,10000,0.1,0.00566658357464761,57.6601691629014,173.429945579036,"vasicek_eff_n"
"Clopper_Pearson",0.975,0.0296319517063397,0.0275600006524847,0.0032,0.005,10000,0.1,0.00566658357464761,57.6601691629014,173.429945579036,"vasicek_eff_n"
"Wald",0.9018,0.014490515799154,0.0120633517308351,0.9786,0.005,10000,0.1,0.00566658357464761,57.6601691629014,173.429945579036,"vasicek_eff_n"
"Wilson",0.9475,0.0292818730128787,0.0275123646673602,0,0.005,10000,0.1,0.00566658357464761,57.6601691629014,173.429945579036,"vasicek_eff_n"
"Agresti_Coull",0.9711,0.0547430599189069,0.0518026605107223,0.8285,0.01,10000,0.1,0.00901740154689176,91.1649980673707,109.691221543273,"vasicek_eff_n"
"Clopper_Pearson",0.9752,0.0492384267761871,0.0462370487217357,2e-04,0.01,10000,0.1,0.00901740154689176,91.1649980673707,109.691221543273,"vasicek_eff_n"
"Wald",0.9005,0.0266059588518027,0.0228124563526815,0.9696,0.01,10000,0.1,0.00901740154689176,91.1649980673707,109.691221543273,"vasicek_eff_n"
"Wilson",0.952,0.0480577656541371,0.045460793423482,2e-04,0.01,10000,0.1,0.00901740154689176,91.1649980673707,109.691221543273,"vasicek_eff_n"
"Agresti_Coull",0.9688,0.0925288778130681,0.0889692120567659,0.7461,0.02,10000,0.1,0.015013850270207,151.123488851799,66.1710504169646,"vasicek_eff_n"
"Clopper_Pearson",0.9764,0.0853260630551009,0.081408006035059,0,0.02,10000,0.1,0.015013850270207,151.123488851799,66.1710504169646,"vasicek_eff_n"
"Wald",0.9049,0.0505873495636978,0.0450690986598375,0.9559,0.02,10000,0.1,0.015013850270207,151.123488851799,66.1710504169646,"vasicek_eff_n"
"Wilson",0.9532,0.08191805972906,0.0784586173055105,0,0.02,10000,0.1,0.015013850270207,151.123488851799,66.1710504169646,"vasicek_eff_n"
"Agresti_Coull",0.9611,0.16641712143702,0.166173164690833,0.4996,0.05,10000,0.1,0.0258308541463101,259.282710608955,38.5679399004811,"vasicek_eff_n"
"Clopper_Pearson",0.9746,0.161229771257372,0.156692151816384,0,0.05,10000,0.1,0.0258308541463101,259.282710608955,38.5679399004811,"vasicek_eff_n"
"Wald",0.9139,0.112539548925808,0.104616595714373,0.8788,0.05,10000,0.1,0.0258308541463101,259.282710608955,38.5679399004811,"vasicek_eff_n"
"Wilson",0.9496,0.150368369222294,0.146088578415653,0,0.05,10000,0.1,0.0258308541463101,259.282710608955,38.5679399004811,"vasicek_eff_n"
"Agresti_Coull",0.9948,0.0344190444334915,0.0333409113709582,0.9924,0.001,10000,0.2,0.00721290285107125,73.1218156078614,136.758092189999,"vasicek_eff_n"
"Clopper_Pearson",0.9905,0.0284800388947988,0.0272273233661458,0.2512,0.001,10000,0.2,0.00721290285107125,73.1218156078614,136.758092189999,"vasicek_eff_n"
"Wald",0.7485,0.00464994576381351,0.00320246537560187,0.9993,0.001,10000,0.2,0.00721290285107125,73.1218156078614,136.758092189999,"vasicek_eff_n"
"Wilson",0.9702,0.0290107046581462,0.0278993169974529,0.2512,0.001,10000,0.2,0.00721290285107125,73.1218156078614,136.758092189999,"vasicek_eff_n"
"Agresti_Coull",0.9865,0.0798688471912225,0.0757963073316077,0.9753,0.005,10000,0.2,0.016738186301721,168.365124830908,59.3947232839531,"vasicek_eff_n"
"Clopper_Pearson",0.9849,0.0688615985839603,0.0641555651068246,0.0408,0.005,10000,0.2,0.016738186301721,168.365124830908,59.3947232839531,"vasicek_eff_n"
"Wald",0.8331,0.0189397218706262,0.0133619906573734,0.9957,0.005,10000,0.2,0.016738186301721,168.365124830908,59.3947232839531,"vasicek_eff_n"
"Wilson",0.9632,0.068415624778528,0.064388213782112,0.0408,0.005,10000,0.2,0.016738186301721,168.365124830908,59.3947232839531,"vasicek_eff_n"
"Agresti_Coull",0.9823,0.115641985595764,0.10891779024547,0.9559,0.01,10000,0.2,0.0243079582444157,244.055274485913,40.974324447871,"vasicek_eff_n"
"Clopper_Pearson",0.9837,0.102440486357397,0.0946793626516755,0.0276,0.01,10000,0.2,0.0243079582444157,244.055274485913,40.974324447871,"vasicek_eff_n"
"Wald",0.849,0.0341826068462545,0.0249936388747553,0.9937,0.01,10000,0.2,0.0243079582444157,244.055274485913,40.974324447871,"vasicek_eff_n"
"Wilson",0.957,0.100017445928469,0.0935502203571205,0.0127,0.01,10000,0.2,0.0243079582444157,244.055274485913,40.974324447871,"vasicek_eff_n"
"Agresti_Coull",0.9732,0.171354767887126,0.161135866630389,0.9186,0.02,10000,0.2,0.0364869714730913,365.83322775944,27.3348598246403,"vasicek_eff_n"
"Clopper_Pearson",0.9788,0.15760353606289,0.145642222585464,0.0072,0.02,10000,0.2,0.0364869714730913,365.83322775944,27.3348598246403,"vasicek_eff_n"
"Wald",0.8515,0.0637502771603368,0.0492696376511112,0.9876,0.02,10000,0.2,0.0364869714730913,365.83322775944,27.3348598246403,"vasicek_eff_n"
"Wilson",0.952,0.150168690275924,0.140559204782136,0.0025,0.02,10000,0.2,0.0364869714730913,365.83322775944,27.3348598246403,"vasicek_eff_n"
"Agresti_Coull",0.9627,0.276034148066621,0.262964022990568,0.8059,0.05,10000,0.2,0.0608075967439143,609.015159842399,16.4199525059242,"vasicek_eff_n"
"Clopper_Pearson",0.9776,0.270561813829723,0.253944223843518,7e-04,0.05,10000,0.2,0.0608075967439143,609.015159842399,16.4199525059242,"vasicek_eff_n"
"Wald",0.869,0.140630580875876,0.117813321268213,0.9722,0.05,10000,0.2,0.0608075967439143,609.015159842399,16.4199525059242,"vasicek_eff_n"
"Wilson",0.9493,0.247435002752287,0.234854001351616,0,0.05,10000,0.2,0.0608075967439143,609.015159842399,16.4199525059242,"vasicek_eff_n"
"Agresti_Coull",0.9953,0.0406718500407015,0.0395098854899163,0.994,0.001,10000,0.25,0.00867793921542917,87.7707142150763,113.933218949269,"vasicek_eff_n"
"Clopper_Pearson",0.9916,0.0336331754197575,0.0322679239362014,0.3367,0.001,10000,0.25,0.00867793921542917,87.7707142150763,113.933218949269,"vasicek_eff_n"
"Wald",0.6622,0.00452930105768113,0.0027965367349732,0.9989,0.001,10000,0.25,0.00867793921542917,87.7707142150763,113.933218949269,"vasicek_eff_n"
"Wilson",0.973,0.034219480197798,0.0330016265257593,0.3367,0.001,10000,0.25,0.00867793921542917,87.7707142150763,113.933218949269,"vasicek_eff_n"
