"p","n","rho","Wald","Clopper_Pearson","Wilson","Agresti_Coull"
0.05,5000,0.1,0.1402,0.1445,0.1423,0.1423
0.05,5000,0.2,0.0868,0.0902,0.0885,0.0885
0.05,5000,0.25,0.0692,0.0719,0.0713,0.0713
0.05,10000,0.01,0.3101,0.3115,0.3087,0.3087
0.05,10000,0.05,0.1377,0.1383,0.1368,0.1368
0.05,10000,0.1,0.0967,0.0976,0.0968,0.0968
0.05,10000,0.2,0.0627,0.0623,0.0617,0.0617
0.05,10000,0.25,0.0482,0.0487,0.0482,0.0482
0.05,25000,0.01,0.1957,0.1976,0.1966,0.1966
0.05,25000,0.05,0.0901,0.0915,0.091,0.091
0.05,25000,0.1,0.0581,0.0591,0.0589,0.0589
0.05,25000,0.2,0.0413,0.0415,0.0412,0.0412
0.05,25000,0.25,0.0316,0.032,0.0318,0.0318
0.05,50000,0.01,0.1524,0.1529,0.1525,0.1525
